ts,open,high,low,close,volume,trades,longOpenInterest,shortOpenInterest,profit,loss,profitCumulative,lossCumulative
2021-10-13,55991.9,57777.0,54271.2,57381.2,3018.73591985,33350,13891525389110654974253795062227930000,517039718978027451426321409949890000,58327432197570279541100691427510459,108772396245063675579570594270167379,3840476664361001315863032316626405153,4574389336023413694555354801746290481
2021-10-14,57381.2,58580.4,56825.0,57377.6,2594.22360564,28621,16636672934416410567218687285473380000,1163701468489888196197236343666290000,140845375323174837966365262207208674,50722428388935295139151607460206287,3981322039684176153829397578833613827,4625111764412348989694506409206496768
2021-10-15,57357.1,62887.5,56888.5,61656.2,5171.6576872004,53746,17191280366078084273745099838943380000,160299076662111023147888239166290000,298789592555183219793857833697746085,69294453408045507331176929415103363,4280111632239359373623255412531359912,4694406217820394497025683338621600131
2021-10-16,61669.8,62400.0,60162.0,60873.4,1963.72806446,24961,16780165346273571012110135812464500000,300983177699406483264843404766290000,97283384840761701643959926050952343,12415548777841918600238653274433662,4377395017080121075267215338582312255,4706821766598236415625921991896033793
2021-10-17,60868.5,61674.3,58900.2,61526.5,2142.26443974,28374,17463084036709914326730271206280890000,154797995579086454143982319166290000,375803660845470803213549029082390808,82989868774363625964500651539650899,4753198677925591878480764367664703063,4789811635372600041590422643435684692
2021-10-18,61526.1,62672.6,59900.0,62037.7,3406.1905642201,35225,24014633489492979000696574564639280000,193611398122566940927660759166290000,220047255480707560147742227807880926,42460887554229481115896653451424696,4973245933406299438628506595472583989,4832272522926829522706319296887109388
2021-10-19,62009.6,64448.0,61320.0,64284.9,3564.4920666701,38201,25284510278049976689446520941639280000,1015224284525334643785182709166290000,133197010502224299237018921788613515,18973127551937604165124145202191541,5106442943908523737865525517261197504,4851245650478767126871443442089300929
2021-10-20,64291.6,66982.2,63546.2,66035.8,3553.4015067402,40625,22702379922777456885640883365434140000,1154869774976092811257812078000000000,683803051141700707047567066757506968,42617860640351165962066803050742342,5790245995050224444913092584018704472,4893863511119118292833510245140043271
2021-10-21,66035.7,66637.8,54100.0,62198.0,6504.9611483705,57632,30973866453053215500703974059434140000,302904992141785718682426230000000000,477153862190215590232333625680055449,202917326056411612057166993063387914,6267399857240440035145426209698759921,5096780837175529904890677238203431185
2021-10-22,62197.4,63757.9,60034.2,60687.5,2972.78004094,33597,25310790945921305657169807967057940000,485476037696961470951561658000000000,62534655521559889235304847414374811,365081880965961102994102617120244450,6329934512761999924380731057113134732,5461862718141491007884779855323675635
2021-10-23,60687.5,61713.9,59610.4,61296.9,1276.37709253,20111,24573993101503063726041312900274650000,358337319281120479441261750000000000,36974975762882896267695436875313184,215175533255276021252460625235600169,6366909488524882820648426493988447916,5677038251396767029137240480559275804
2021-10-24,61297.6,61450.0,59523.0,60882.5,1443.19001317,21012,29094674341263050211429734535250280000,1368383323319446219445122466000000000,31697155270673960438258318428909161,129090228510848087655531188513654011,6398606643795556781086684812417357077,5806128479907615116792771669072929815
2021-10-25,60865.1,63700.0,60674.0,63081.8,2256.83615934,27612,31463945975373587894489231530112780000,410464540515345258645141910000000000,228217213691181864875455760382580841,78165734008532404902258755270100571,6626823857486738645962140572799937918,5884294213916147521695030424343030386
2021-10-26,63081.7,63288.0,59824.2,60310.2,2575.37764474,30166,30601005614154079780485309529033600000,398329722714558891439918360000000000,162857790162533580523958553874616065,53295312873486013444514286392396672,6789681647649272226486099126674553983,5937589526789633535139544710735427058
2021-10-27,60325.1,61477.1,58140.6,58500.1,3960.9791112803,43598,30812421292114435143481935128033600000,314156859086099080527709070000000000,278243063469694185793968033752810758,468697486629130213281482730098664069,7067924711118966412280067160427364741,6406287013418763748421027440834091127
2021-10-28,58500.1,62490.0,57948.0,60613.5,4521.7777939901,46305,33768722087308781449698103868033600000,1979148669839194924128244304000000000,233202234085478829038498302174307217,69540745386774668274198494012103127,7301126945204445241318565462601671958,6475827758805538416695225934846194254
2021-10-29,60604.5,62950.0,60223.5,62246.5,2728.85257089,31273,47927725227250369217303991375604280000,1126459089224453295736580360000000000,393617923228467455449746396550768188,64454803094734041930268027028409642,7694744868432912696768311859152440146,6540282561900272458625493961874603896
2021-10-30,62246.4,62359.2,60741.1,61866.3,1202.80701854,22239,33782519999068100272571428139039160000,764372339982990450592322241704960000,126365543539402791835329821493522804,119136938625143413627256148599957675,7821110411972315488603641680645962950,6659419500525415872252750110474561571
2021-10-31,61879.2,62422.8,60051.0,61380.1,1518.03039144,26396,36998765888623142725448348969874660000,603124119611583781213009911704960000,156082585119372703536596418366121263,89194731736603612941703311853655852,7977192997091688192140238099012084213,6748614232262019485194453422328217423
2021-11-01,61380.1,62500.0,59449.1,60954.5,2653.29145478,31588,45701357323854329090421339651108560000,717061230581102042736609509704960000,79175717390108253422592904172709502,57332173321659453112498478842157151,8056368714481796445562831003184793715,6805946405583678938306951901170374574
2021-11-02,60954.5,64327.0,60665.9,63279.7,2748.17239322,37462,34480422848674124163754347101967760000,1642141885117927526172492979704960000,643767891269415314144783561034176443,26314873265600317171131259055442815,8700136605751211759707614564218970158,6832261278849279255478083160225817389
2021-11-03,63279.8,63550.4,60810.3,62942.9,2575.67753077,31653,33407142809335493370891069156342670000,1853076282892533925132705494704960000,802869626911558523563534530035957554,72260985880293008202483066109592898,9503006232662770283271149094254927712,6904522264729572263680566226335410287
2021-11-04,62938.0,63115.0,60644.2,61449.0,1875.76279461,26603,56447077212750945158644360423419900000,3289181663580465112227273369631820000,148957266899123635704286019869955870,152432153605457433070037926153516947,9651963499561893918975435114124883582,7056954418335029696750604152488927234
2021-11-05,61448.9,62631.9,60804.4,61006.2,1431.43066774,23089,65474323480245077962030791192127380000,3817396749756340754934235449704960000,112068200313885298137930803700763191,45015365087823283460563476953175490,9764031699875779217113365917825646773,7101969783422852980211167629442102724
2021-11-06,61007.4,61602.1,60129.8,61536.3,1337.98498424,20253,50887166344054179818213199312417350000,2705158774658917608833133689704960000,38784926377452448904488147890424991,609969882270786000142602053360312888,9802816626253231666017854065716071764,7711939665693638980353769682802415612
2021-11-07,61535.4,63317.8,61388.0,63317.8,1554.00196888,23475,53566257281309472097248234628341240000,1138962183533007671320701097704960000,160167559020598678513822813221984404,38524387250353379773941986951183739,9962984185273830344531676878938056168,7750464052943992360127711669753599351
